date,day_name,is_weekend,is_public_holiday,holiday_name,is_bridge_holiday,is_non_working_day,is_long_weekend,long_weekend_start,long_weekend_end,long_weekend_length,is_pattaya_music_festival,is_pattaya_fireworks_festival,is_pattaya_songkran_event,is_pattaya_major_event,is_sriracha_songkran_event,is_sriracha_local_event,tourism_season_proxy,is_year_end_peak_window,is_summer_travel_window,is_rainy_low_season_window,tourism_macro_demand_proxy_score,tourism_macro_demand_proxy_label,days_to_next_local_or_pattaya_event,days_since_prev_local_or_pattaya_event
2023-05-31,Wednesday,False,False,,False,False,False,,,,False,False,False,False,False,False,green_low_season,False,False,False,0,low,177.0,
2023-06-01,Thursday,False,False,,False,False,False,,,,False,False,False,False,False,False,green_low_season,False,False,True,0,low,176.0,
2023-06-02,Friday,False,False,,False,False,False,,,,False,False,False,False,False,False,green_low_season,False,False,True,0,low,175.0,
2023-06-03,Saturday,True,False,,False,True,True,2023-06-03,2023-06-05,3.0,False,False,False,False,False,False,green_low_season,False,False,True,2,normal,174.0,
2023-06-04,Sunday,True,False,,False,True,True,2023-06-03,2023-06-05,3.0,False,False,False,False,False,False,green_low_season,False,False,True,2,normal,173.0,
2023-06-05,Monday,False,True,Substitution for H.M. Queen Suthida Bajrasudhabimalalakshana’s Birthday and Visakha Bucha Day,False,True,True,2023-06-03,2023-06-05,3.0,False,False,False,False,False,False,green_low_season,False,False,True,2,normal,172.0,
2023-06-06,Tuesday,False,False,,False,False,False,,,,False,False,False,False,False,False,green_low_season,False,False,True,0,low,171.0,
2023-06-07,Wednesday,False,False,,False,False,False,,,,False,False,False,False,False,False,green_low_season,False,False,True,0,low,170.0,
2023-06-08,Thursday,False,False,,False,False,False,,,,False,False,False,False,False,False,green_low_season,False,False,True,0,low,169.0,
2023-06-09,Friday,False,False,,False,False,False,,,,False,False,False,False,False,False,green_low_season,False,False,True,0,low,168.0,
2023-06-10,Saturday,True,False,,False,True,False,,,,False,False,False,False,False,False,green_low_season,False,False,True,1,low,167.0,
2023-06-11,Sunday,True,False,,False,True,False,,,,False,False,False,False,False,False,green_low_season,False,False,True,1,low,166.0,
2023-06-12,Monday,False,False,,False,False,False,,,,False,False,False,False,False,False,green_low_season,False,False,True,0,low,165.0,
